type,business_name,email,username,phone,city,password,website,facebook,instagram,twitter,linkedin,whatsapp,logo,place_id
dealer,"Dedza Pottery and Lodge",biz.dedzapotteryandlodge.aasO3Q@motorlink.test,dedza_pottery_and_lodge,"0888 85 34 25",Lilongwe,WdvX2Y!TN@sZ,https://www.dedza-pottery.com/,https://www.facebook.com/dedzapottery,https://www.instagram.com/dedzapottery,,,,yes,ChIJWylBGxpjIBkR9kqDiaasO3Q
dealer,Dedza,biz.dedza.X6L9wQ@motorlink.test,dedza,,Dedza,msnbn6RyDs6M,,,,,,,yes,ChIJQYppHyt9IBkR75O4rX6L9wQ
dealer,"YAF JAPAN MOTORS LIMITED",biz.yafjapanmotorslimite.aMYu9E@motorlink.test,yaf_japan_motors_limited,"0787 445566",Lilongwe,vtWVJNUYjwW6,http://www.yaf.co.ke/,https://www.facebook.com/Yaf.jpMotors,https://www.instagram.com/yaf.japan.motors,,,,yes,ChIJ53QEtQwTQBgRhfmhCaMYu9E
dealer,"Dedza Border, Malawi.",biz.dedzabordermalawi.BjsYJ4@motorlink.test,dedza_border_malawi,"0980 41 20 80",Dedza,cwC9V#jGHdbr,,,,,,,yes,ChIJNR7mTABjIBkRDhGZwBjsYJ4
dealer,"MRA Dedza Customs & Excise",biz.mradedzacustomsexcis.G9tids@motorlink.test,mra_dedza_customs_excise,"01 223 153",Lilongwe,khj5uTb6uWDg,,,,,,,yes,ChIJBQKWUE1jIBkR5hmuKG9tids
dealer,"Dedza Mountain View Lodge",biz.dedzamountainviewlod.MOQ-do@motorlink.test,dedza_mountain_view_lodge,"0888 62 89 00",Dedza,wCBMSt6MwnTR,,,,,,,yes,ChIJa39UG89iIBkR9q4orMOQ-do
dealer,"Dedza Mount Meru",biz.dedzamountmeru.Rz0MZo@motorlink.test,dedza_mount_meru,,Dedza,#bt3!DvER5uA,,,,,,,yes,ChIJ6aTENABjIBkR4jWaiRz0MZo
dealer,"Road Traffic Department",biz.roadtrafficdepartmen.aQdiBw@motorlink.test,road_traffic_department,"0995 00 84 82",Blantyre,52YghfzX8XSY,http://drtss.gov.mw/,,,,,,no,ChIJX5JcVZdF2BgRzQWidaQdiBw
dealer,"TAS MOTORS",biz.tasmotors.bIXmyc@motorlink.test,tas_motors,,Lilongwe,RJYQ3FNTSt4D,,,,,,,yes,ChIJJ66LozhF2BgRNziC_bIXmyc
dealer,"Chris car dealer",biz.chriscardealer.NwJarQ@motorlink.test,chris_car_dealer,,Lilongwe,Ca#p!KkgG8DT,,,,,,,no,ChIJB3iBVarXHBkRC4Mu0NwJarQ
dealer,"CHINKO AUTOMOTIVE SERVICES",biz.chinkoautomotiveserv.YjGt3c@motorlink.test,chinko_automotive_services,"0889 56 82 42",Mangochi,Ate7EVgb4@zM,,,,,,,yes,ChIJ1YNBFxzj3hgRFsHDoYjGt3c
dealer,"Makhalichi Car Service and Autoparts",biz.makhalichicarservice.3EHdew@motorlink.test,makhalichi_car_service_and_a,"0999 52 53 89",Lilongwe,CZ@PBMWSKPWh,http://www.makhalichi.blogspot.com/,,,,,,no,ChIJCwrSewDP2RgRlBWGF3EHdew
dealer,"PRECIOUS MOTORCYCLE GARAGE",biz.preciousmotorcyclega.gtiIFc@motorlink.test,precious_motorcycle_garage,"0985 82 52 30",Mchinji,5kMaCV@8Y#As,,,,,,,no,ChIJbU0Nveq7GBkRkfTT4gtiIFc
dealer,"Wheel master tyre fitting",biz.wheelmastertyrefitti.w-seVs@motorlink.test,wheel_master_tyre_fitting,,Mchinji,y4yuFH8y77cX,,,,,,,no,ChIJr4EUBQC7GBkRfxIzFw-seVs
dealer,"Mchinji Border Station",biz.mchinjiborderstation.X1yKHM@motorlink.test,mchinji_border_station,"0992 99 10 06",Mchinji,tszsMVGWhhcb,http://www.mra.mw/,,,,,,yes,ChIJ5csdInK_GBkRlyyVgX1yKHM
dealer,"Mchinji Assemblies Of God",biz.mchinjiassembliesofg.i6CA34@motorlink.test,mchinji_assemblies_of_god,"0997 01 00 44",Mchinji,CK8@JEu3455J,,,,,,,no,ChIJY5Za3n66GBkRTy7oWi6CA34
dealer,"Mchinji boarder tax rank",biz.mchinjiboardertaxran.cuy5zc@motorlink.test,mchinji_boarder_tax_rank,,Mchinji,#GvNzQftT3FE,,,,,,,no,ChIJc175LAC7GBkRyDihKcuy5zc
dealer,"Minibus deport",biz.minibusdeport.rPN1bI@motorlink.test,minibus_deport,,Mchinji,mmZ95d2X6xax,,,,,,,no,ChIJT_NzHwC7GBkRsKraXrPN1bI
dealer,Brantley,biz.brantley.qf1sV8@motorlink.test,brantley,,Lilongwe,9g2tUafKv!gP,,,,,,,no,ChIJXSeN68HPHxkRfp3bwqf1sV8
dealer,"Elias Motorcycle Spares and Services",biz.eliasmotorcyclespare.2PEDLM@motorlink.test,elias_motorcycle_spares_and_,,Nkhotakota,@KZC2cgU5954,,,,,,,no,ChIJp_ENiWc7HhkR8sp3X2PEDLM
dealer,"Autocom Japan Moçambique Lda - Maputo Office",biz.autocomjapanmoambiqu.gCrpWE@motorlink.test,autocom_japan_mo_ambique_lda,"84 858 4088",Lilongwe,MkPaTBRRpSsd,http://www.autocj.co.jp/autocom_mozambique,https://www.facebook.com/AutocomJapanInc,https://www.instagram.com/autocom_japan_inc,https://twitter.com/Autocom_Japan,,https://wa.me/258848584088,yes,ChIJi_ojIK-b5h4R05vgogCrpWE
dealer,"Jan International Limited",biz.janinternationallimi.WrzwcA@motorlink.test,jan_international_limited,"0779 999 244",Lilongwe,WMqZsZv@R8dx,http://www.janjapan.com/,https://www.facebook.com/janjapanglobal,,https://twitter.com/janjapanglobal,https://www.linkedin.com/company/jan-japan,,no,ChIJ5VHQFyVxzhkRsHVBRWrzwcA
dealer,"Elias Motorcycle Spares and Services",biz.eliasmotorcyclespare.WQ8U_Y@motorlink.test,elias_motorcycle_spares__2,"0881 82 40 09",Nkhotakota,Py9AUvVS!x6a,,,,,,,yes,ChIJjVmVjQ47HhkRC8EnnWQ8U_Y
dealer,"Nkhotakota Pottery Lodge",biz.nkhotakotapotterylod.TtPgSw@motorlink.test,nkhotakota_pottery_lodge,"0884 58 10 98",Nkhotakota,mscxbn2MrdaQ,https://www.nkhotakota-pottery-lodge.com/,,,,,,yes,ChIJ375KP8AxHhkRy1ELzTtPgSw
dealer,"Lakeshore Motors And Logistics",biz.lakeshoremotorsandlo.Lq3EIs@motorlink.test,lakeshore_motors_and_logisti,"0881 47 48 77",Nkhotakota,C#nukSf6vT#v,,,,,,,no,ChIJbQCffwDPHxkRudIfLLq3EIs
dealer,Nkhotakota,biz.nkhotakota.TfVCN8@motorlink.test,nkhotakota,,Nkhotakota,yxvzEnbBk#MW,,,,,,,yes,ChIJpWCIzaE7HhkRW7lBWTfVCN8
dealer,"Meru Nkhotakhota filling station",biz.merunkhotakhotafilli.ye3ymI@motorlink.test,meru_nkhotakhota_filling_sta,"0996 17 68 18",Nkhotakota,e5EJPEfa8@5N,,,,,,,yes,ChIJo3_PAMw7HhkRJ6CTOye3ymI
dealer,"Sitima Inn",biz.sitimainn.KL_-m0@motorlink.test,sitima_inn,,Nkhotakota,u9whK4K7EMNa,,,,,,,yes,ChIJ2Q7aPGU7HhkR8adF9KL_-m0
dealer,"Livingstone tree",biz.livingstonetree.QhUUMc@motorlink.test,livingstone_tree,,Nkhotakota,QrJgM6cCnUVk,,,,,,,yes,ChIJ-8SH1BE7HhkRxoqmTQhUUMc
dealer,"Anyati Car dealership",biz.anyaticardealership.HHTgLM@motorlink.test,anyati_car_dealership,"0996 86 88 66",Balaka,exaVaQDzGm78,,,,,,,yes,ChIJWVGLZNTN2BgRYVDwtHHTgLM
dealer,"Kepha Motorcycles dealerships",biz.kephamotorcyclesdeal.ldRxgM@motorlink.test,kepha_motorcycles_dealership,"0993 68 64 74",Salima,d6n7#vePyNTm,,,,,,,yes,ChIJZaBA_7GNHxkRYCuQYldRxgM
dealer,Nanah,biz.nanah.-HW7po@motorlink.test,nanah,,Dowa,hmM5XAF6zz#c,,,,,,,no,ChIJ2RElOQCbHxkRXCnD6-HW7po
dealer,"Dowa District Council",biz.dowadistrictcouncil.Ykirgk@motorlink.test,dowa_district_council,,Dowa,RfASYUcFvUJz,,,,,,,yes,ChIJe0ZO_AubHxkRitDmOYkirgk
dealer,"Bujah kalindeSelling used car and spairparts",biz.bujahkalindesellingu.bZ-DPw@motorlink.test,bujah_kalindeselling_used_ca,"0997 17 03 39",Ntcheu,a@n5S9VJ@b#g,,,,,,,no,ChIJtfdIRw1b3xgRmiJIEbZ-DPw
dealer,"Ntcheu kips",biz.ntcheukips.R4xtwc@motorlink.test,ntcheu_kips,"0981 21 33 02",Ntcheu,wrutNZ6uXewY,,,,,,,yes,ChIJEXzpIIZb3xgRxskV2R4xtwc
dealer,"Rock of Ages Hardware",biz.rockofageshardware.zL8nvY@motorlink.test,rock_of_ages_hardware,"0993 97 68 30",Ntcheu,#xzPPUXHVRKr,,,,,,,yes,ChIJAdIHXApb3xgRIQMTUzL8nvY
dealer,"Ntcheu Bus Depot",biz.ntcheubusdepot.aBwCQ4@motorlink.test,ntcheu_bus_depot,,Ntcheu,NJwC8jXv4PhM,,,,,,,yes,ChIJDQlQDQlb3xgRAgWWdaBwCQ4
dealer,"TotalEnergies Ntcheu Service Station",biz.totalenergiesntcheus.XDTQCU@motorlink.test,totalenergies_ntcheu_service,"0888 69 99 99",Ntcheu,UUMEX352ufhH,https://mw.totalenergies.com/,,,,,,yes,ChIJudpKFk1a3xgRPXE_pXDTQCU
dealer,"TotalEnergies Balaka Service Station",biz.totalenergiesbalakas.vftfKI@motorlink.test,totalenergies_balaka_service,"0995 67 33 48",Balaka,jFktUqUvdcm@,https://mw.totalenergies.com/,,,,,,yes,ChIJtTmDQC5j3xgRCdfgXvftfKI
dealer,"Puma Energy Malawi Balaka Service Station",biz.pumaenergymalawibala.LfvAyg@motorlink.test,puma_energy_malawi_balaka_se,"0995 20 61 60",Balaka,!S6dkwuEBXth,https://pumaenergy.com/country/malawi-2/,https://www.facebook.com/PumaEnergy,,,https://www.linkedin.com/company/puma-energy,,yes,ChIJLdT8K4LM2BgRRVITDLfvAyg
dealer,"Cars advert",biz.carsadvert.oVJZRI@motorlink.test,cars_advert,"0987 55 46 05",Lilongwe,9PYff5YUh#@u,,,,,,,no,ChIJp_6D37MrIBkRdClfuoVJZRI
dealer,"Kanengo ATC Head Office",biz.kanengoatcheadoffice.7FvzU0@motorlink.test,kanengo_atc_head_office,"0887 37 66 34",Lilongwe,yt762MXu2KRc,,,,,,,yes,ChIJiVwJSdIqIBkRDxtK77FvzU0
dealer,Kanengo,biz.kanengo.iFcC-Q@motorlink.test,kanengo,,Lilongwe,eg4fjXYQAX5T,,,,,,,no,ChIJlWBIAQDVIRkR_KVrYiFcC-Q
dealer,"Kamkango logistics",biz.kamkangologistics.pjc2K8@motorlink.test,kamkango_logistics,"0997 30 68 21",Lilongwe,Yud6EjX94j!E,,,,,,,no,ChIJheVG7KrTIRkRoH38_pjc2K8
dealer,"Kanengo Electrical Solutions",biz.kanengoelectricalsol.kc-ZRs@motorlink.test,kanengo_electrical_solutions,"0995 64 62 85",Lilongwe,4sueP8CknjXD,,,,,,,yes,ChIJEz-Bc7PVIRkRacD_Ckc-ZRs
dealer,"ALVIN EXPERT auto chigwe",biz.alvinexpertautochigw.hme_1A@motorlink.test,alvin_expert_auto_chigwe,"0991 61 91 60",Kasungu,S43uFDUneBdk,,,,,,,yes,ChIJ30YdO-DpHhkRwMLPwhme_1A
dealer,"SGV Electric Mobility",biz.sgvelectricmobility.nQCYHE@motorlink.test,sgv_electric_mobility,"0883 52 53 79",Lilongwe,dXkaWt@2TszZ,http://www.sgvelectricmobility.com/,https://www.facebook.com/SGVElectricmobility,https://www.instagram.com/sgvelectricmobility,,https://www.linkedin.com/company/sgv-electric-mobility,,yes,ChIJJ7ll327VIRkRaHqZcnQCYHE
dealer,"Cartrack Malawi Lilongwe office",biz.cartrackmalawililong.CH3798@motorlink.test,cartrack_malawi_lilongwe_off,"0883 35 08 37",Lilongwe,x7Kh5KtCE#yS,,,,,,,yes,ChIJ1ynpbbHUIRkR8516TCH3798
dealer,"A-Jays Car Rental",biz.ajayscarrental.rzWoFU@motorlink.test,a_jays_car_rental,"0999 97 47 50",Lilongwe,DrKJC2!dBqGN,,,,,,,yes,ChIJ-5Yv6GrVIRkRwnAFvrzWoFU
dealer,"Motor Trends Mw",biz.motortrendsmw.4ayivk@motorlink.test,motor_trends_mw,"0998 26 86 14",Lilongwe,2JZH@!UCmRdJ,,,,,,,yes,ChIJc1r1KCbVIRkRRXYj24ayivk
dealer,"Mersaac Motor Services",biz.mersaacmotorservices.0lfk9I@motorlink.test,mersaac_motor_services,"0992 61 99 18",Lilongwe,zUunaGzKEYv5,,,,,,,yes,ChIJcbH-tlDVIRkRg8LUc0lfk9I
dealer,"DMC Autostyle",biz.dmcautostyle.Qcq-Rw@motorlink.test,dmc_autostyle,"0999 55 79 91",Lilongwe,Jrbp87HaXRuc,https://www.dmcautostyle.com/,,,,,,yes,ChIJudxoy23VIRkRzPvjUQcq-Rw
dealer,"25 motors",biz.25motors.0g-86M@motorlink.test,25_motors,,Lilongwe,NrPujcGVfa95,,,,,,,no,ChIJzezIawDVIRkRGzHd-0g-86M
dealer,"Urban motor works",biz.urbanmotorworks.d4O_f0@motorlink.test,urban_motor_works,"0998 73 11 73",Lilongwe,GWujW#5rcrXt,,,,,,,yes,ChIJi3EdaADVIRkR-40qLd4O_f0
dealer,"Area 25 C Market (Pambuzi)",biz.area25cmarketpambuzi.gSnSJU@motorlink.test,area_25_c_market_pambuzi,,Lilongwe,w#RSb!xtKDyC,,,,,,,yes,ChIJ822krRTVIRkRQypa4gSnSJU
dealer,"Smooth Car Rental",biz.smoothcarrental.8xYkSo@motorlink.test,smooth_car_rental,"0992 74 13 37",Lilongwe,Gmps@K7fSgCN,,,,,,,yes,ChIJTxS65izVIRkRMX_2v8xYkSo
dealer,"JAYEE CAR RENTAL",biz.jayeecarrental.gjePLE@motorlink.test,jayee_car_rental,,Lilongwe,eFZ2FXtfs6eg,,,,,,,no,ChIJfzT8uuJ_HxkRkD5PWgjePLE
dealer,"The Gateway Mall",biz.thegatewaymall.7rRp-Y@motorlink.test,the_gateway_mall,"07982 974033",Lilongwe,ea@KCxBuaXvj,https://gatewaymallmalawi.com/,https://www.facebook.com/thegatewaymall,https://www.instagram.com/gatewaymallmalawi,https://twitter.com/GatewayMalawi,,,yes,ChIJq1PiBUbTIRkRw9Au77rRp-Y
dealer,"Area 47",biz.area47.rhStyI@motorlink.test,area_47,,Lilongwe,ezx@a!F#V2xq,,,,,,,yes,ChIJkd2GWZ7TIRkRc8jWmrhStyI
dealer,"TotalEnergies Area 47 Service Station",biz.totalenergiesarea47s.3KwHyI@motorlink.test,totalenergies_area_47_servic,,Lilongwe,uF64ASMRc3uE,https://mw.totalenergies.com/,,,,,,yes,ChIJjcjYX9QVHxkReH2xd3KwHyI
dealer,"Kajani Car Hire",biz.kajanicarhire.bGTxoI@motorlink.test,kajani_car_hire,"0999 35 95 40",Lilongwe,3mC8ejUyAAYt,,,,,,,yes,ChIJcXF7KcfTIRkRmrb5ebGTxoI
dealer,"Area 47 Sector 3 Trading Centre",biz.area47sector3trading.NuTo3I@motorlink.test,area_47_sector_3_trading_cen,"0991 33 25 36",Lilongwe,mh#AgmAEtFUx,,,,,,,no,ChIJkXR-hizTIRkR5vRFrNuTo3I
dealer,"Fastlane Car wash",biz.fastlanecarwash.S7MUMA@motorlink.test,fastlane_car_wash,,Lilongwe,saKktcqAwHmb,,,,,,,yes,ChIJPeGU3MvTIRkR3QmADS7MUMA
dealer,"Area 47 sector 3",biz.area47sector3.qfg_9I@motorlink.test,area_47_sector_3,,Lilongwe,JjQTk7fApMNc,,,,,,,no,ChIJG9RVJgDTIRkRKIvaOqfg_9I
dealer,"Rose Garden, Area 47, LL",biz.rosegardenarea47ll.S5Q_w4@motorlink.test,rose_garden_area_47_ll,,Lilongwe,PQgDnVesCqtw,,,,,,,yes,ChIJNSOxGvPVIRkRsWchfS5Q_w4
dealer,"Frenod & Vit Freight",biz.frenodvitfreight.yRJL6U@motorlink.test,frenod_vit_freight,"0998 75 45 34",Lilongwe,p9CcdKBVqzmm,,,,,,,yes,ChIJ-TjbU9stIBkR1huYhyRJL6U
dealer,"Klassiq Rent A Car",biz.klassiqrentacar.gpgczw@motorlink.test,klassiq_rent_a_car,"0999 41 19 55",Lilongwe,cPnBBJD!HX!X,,,,,,,yes,ChIJ49FqiYLTIRkR3GGQygpgczw
dealer,"Area 47/1 Police Station",biz.area471policestation.66mL6k@motorlink.test,area_47_1_police_station,,Lilongwe,gY5u7MhDEQ93,,,,,,,no,ChIJ4wYJ72vTIRkREfTHK66mL6k
dealer,"City Mall",biz.citymall.ScUBe4@motorlink.test,city_mall,,Lilongwe,7!VcwhWH8DpE,,,,,,,yes,ChIJGyUe7NjTIRkRgEoETScUBe4
dealer,"YAWACHI MOTOR VECHLE SPECIAL LIST GARGA",biz.yawachimotorvechlesp.JniuMo@motorlink.test,yawachi_motor_vechle_special,"0999 56 13 69",Lilongwe,f!zNT5N!j8sX,,,,,,,no,ChIJ10U_pF7TIRkRKmKkLJniuMo
dealer,"East Motors",biz.eastmotors.2PBXAM@motorlink.test,east_motors,,Lilongwe,F3ghksQVSxEy,,,,,,,no,ChIJAXmerxfTIRkRDi5eb2PBXAM
dealer,"Malangalanga Business Market Center",biz.malangalangabusiness.k7M-tM@motorlink.test,malangalanga_business_market,,Lilongwe,wyXMrm42HUAw,,,,,,,yes,ChIJ6TY9rnHTIRkRtAjrjk7M-tM
dealer,"UNIQUE CAR CLINIC",biz.uniquecarclinic.tuSPzI@motorlink.test,unique_car_clinic,"0996 96 03 28",Lilongwe,AbJARsAgva9e,,,,,,,no,ChIJA0jA-cjTIRkR5ID2HtuSPzI
dealer,Biwi,biz.biwi.zruvPY@motorlink.test,biwi,,Lilongwe,M6W6CuJ6NZ3y,,,,,,,yes,ChIJNVgJZwFrHxkRjm7eDzruvPY
dealer,"Quizologistic auto mobile",biz.quizologisticautomob.1M-B1U@motorlink.test,quizologistic_auto_mobile,"0995 07 80 80",Lilongwe,Vcb88cnCekqj,,,,,,,no,ChIJT7Q_4qvTIRkRy0Gc21M-B1U
dealer,"Thuyamizi Import and Export",biz.thuyamiziimportandex.CT4ZXw@motorlink.test,thuyamizi_import_and_export,"0994 03 79 54",Lilongwe,7vJ!QnD!hbVK,,,,,,,yes,ChIJ29l61g7TIRkRY4vfdCT4ZXw
dealer,"Car parts mazda",biz.carpartsmazda.h5H3Fg@motorlink.test,car_parts_mazda,,Lilongwe,ZQQBnXsQ4D#V,,,,,,,no,ChIJ2bbnSQDTIRkRRh-FBh5H3Fg
dealer,"LOVEMAS MOTORS",biz.lovemasmotors.tz7MiY@motorlink.test,lovemas_motors,"0999 51 30 17",Lilongwe,6@Bp2z3Ftx8b,,,,,,,yes,ChIJNZcR32EtIBkRWiuAatz7MiY
dealer,Kawale,biz.kawale.qXVPLE@motorlink.test,kawale,,Lilongwe,Zz6bEJjECc5z,,,,,,,no,ChIJbUcfOwAtIBkR3esk7qXVPLE
dealer,"Kawale Filling Station",biz.kawalefillingstation.wzBx14@motorlink.test,kawale_filling_station,"0993 10 07 84",Lilongwe,Extg@N@Rud8G,,,,,,,yes,ChIJcUhR7jItIBkRkP49qwzBx14
dealer,"Kanjala motors",biz.kanjalamotors.PgDWo0@motorlink.test,kanjala_motors,,Lilongwe,TfYcs5!sN8hP,,,,,,,no,ChIJYexBMAAtIBkR7Em6dPgDWo0
dealer,"King Car Wash",biz.kingcarwash.l9DZko@motorlink.test,king_car_wash,"0995 26 33 33",Lilongwe,cvRzUwyuVXKF,,,,,,,no,ChIJmeRa0LzTIRkRn_0rBl9DZko
dealer,"Queens mall Toyota",biz.queensmalltoyota.7p7bw0@motorlink.test,queens_mall_toyota,"0999 55 53 80",Lilongwe,8Ezh8kFHGVQP,http://www.toyotamalawi.com/,https://www.facebook.com/malawitoyota,,,,,no,ChIJGc8kBK_TIRkRSy0Jg7p7bw0
dealer,djthiya1@,biz.djthiya1.PEYB90@motorlink.test,djthiya1,,Lilongwe,ZxZ4yHXggPMW,,,,,,,no,ChIJiR58KwAtIBkRuJgM-PEYB90
dealer,"MANCHESTER MOTORS",biz.manchestermotors.UvWGhc@motorlink.test,manchester_motors,"0881 74 87 70",Lilongwe,rdwDhrrsgZMp,,,,,,,yes,ChIJP4X7YYbTIRkRK5PAeUvWGhc
dealer,"Roads Authority",biz.roadsauthority.32RrG8@motorlink.test,roads_authority,"0888 14 70 84",Lilongwe,D4aTqAW!PR!9,,,,,,,no,ChIJy_-qKxnTIRkR0eOT-32RrG8
dealer,"Lilongwe Technical College",biz.lilongwetechnicalcol.KCoYzw@motorlink.test,lilongwe_technical_college,"0994 49 74 78",Lilongwe,bDyd#7a!22xx,,,,,,,yes,ChIJSSjT8bnSIRkRNPoKgKCoYzw
dealer,"Crossroads Hotel",biz.crossroadshotel._FbJ7g@motorlink.test,crossroads_hotel,"0888 75 04 44",Lilongwe,XnURUbYw26md,https://www.crossroadshotel.net/,,,,,,yes,ChIJC_qL4gXTIRkR9E1ZM_FbJ7g
dealer,"Wimpy Crossroads Lilongwe",biz.wimpycrossroadslilon.X9lb_I@motorlink.test,wimpy_crossroads_lilongwe,"0991 52 63 99",Lilongwe,3W@!atMTtWkC,http://www.wimpy.co.za/,https://www.facebook.com/WimpySA,https://www.instagram.com/wimpy_sa,https://twitter.com/wimpy_sa,,,yes,ChIJuV5uBwbTIRkRIuKhUX9lb_I
dealer,"cross roads",biz.crossroads.FHB930@motorlink.test,cross_roads,,Lilongwe,wfaYwdgUrdaY,,,,,,,no,ChIJ7xNvA7HTIRkRKpwcwFHB930
garage,"Yattsman & Boltsman Auto Parts and Auto key programmer",biz.yattsmanboltsmanauto.RikXVE@motorlink.test,yattsman_boltsman_auto_p_2,,Lilongwe,cu2h5CX#HmNc,,,,,,,yes,ChIJg3FGagHTIRkRIRjPnRikXVE
garage,"PG Glass Lilongwe",biz.pgglasslilongwe.sF9o98@motorlink.test,pg_glass_lilongwe,"01 757 601",Lilongwe,yHUP7@UghtcW,http://www.pgglassafrica.com/,,,,,,yes,ChIJ-eOW8vXTIRkRjDoL6sF9o98
garage,Hartford,biz.hartford.61M3nE@motorlink.test,hartford,"0999 53 07 20",Lilongwe,gyrgcDd!@#WD,,,,,,,no,ChIJbWhbK9bTIRkR0yyp061M3nE
garage,iFix,biz.ifix.8EGndg@motorlink.test,ifix,"0996 23 77 35",Lilongwe,Z@6bHdm3rpwh,,,,,,,yes,ChIJN3utSUrTIRkRoEPy88EGndg
garage,"Glass fit",biz.glassfit.i2CRYE@motorlink.test,glass_fit,,Lilongwe,dbsn5zwWQWsw,,,,,,,yes,ChIJ72DQn4zTIRkRccGOli2CRYE
garage,"Ora Glass And Aluminium",biz.oraglassandaluminium.UFwdA0@motorlink.test,ora_glass_and_aluminium,"0987 37 61 10",Lilongwe,bfTXnQb25Gr#,,,,,,,yes,ChIJQcY08qzTIRkRENii7UFwdA0
